concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,FSN
44784427,"Post diphtheria, tetanus and pertussis vaccination fever",Condition,SNOMED,Disorder,S,698578005,20140131,20991231,,"Post diphtheria, tetanus and pertussis vaccination fever (disorder); Post diphtheria,tetanus and pertussis vaccination fever (disorder)"
4230968,Tympanoplasty type V with fenestra in semicircular canal,Procedure,SNOMED,Procedure,S,89246001,20020131,20991231,,Tympanoplasty type V with fenestra in semicircular canal (procedure)
4001321,Primary malignant neoplasm of peripheral nerves of abdomen,Condition,SNOMED,Disorder,S,109943004,20020131,20991231,,Primary malignant neoplasm of peripheral nerves of abdomen (disorder)
4131055,Periungual fibroma,Condition,SNOMED,Disorder,S,264561009,20020131,20991231,,Periungual fibroma (disorder); Periungual fibroma (qualifier value)
4271668,Swelling feature,Observation,SNOMED,Observable Entity,S,364642001,20020131,20991231,,Swelling feature (observable entity)
4018588,Measurement of Toxoplasma species IgM antibody,Measurement,SNOMED,Procedure,S,104306008,20020131,20991231,,Measurement of Toxoplasma species immunoglobulin M antibody (procedure); Toxoplasma IgM antibody assay (procedure)
4207282,Email encounter from caregiver,Procedure,SNOMED,Procedure,S,438515009,20090131,20991231,,Email encounter from caregiver (procedure); E-mail encounter from caregiver (procedure); E-mail encounter from carer (procedure)
37206542,Naphazoline and pheniramine only product in ocular dose form,Drug,SNOMED,Clinical Drug Form,,786254009,20190731,20991231,,Product containing only naphazoline and pheniramine in ocular dose form (medicinal product form)
37397713,Soft-tissue ultrasonic surgical system transducer/tip,Device,SNOMED,Physical Object,S,718442007,20160731,20991231,,Soft-tissue ultrasonic surgical system transducer/tip (physical object)
4055779,Drug not available for administration,Observation,SNOMED,Event,S,242990004,20020131,20991231,,Drug not available for administration (event); Drug not available for administration (finding)
4175857,Edwardsiella hoshinae,Observation,SNOMED,Organism,S,4280005,20020131,20991231,,Edwardsiella hoshinae (organism)
4293737,Surgical margin involved by ductal carcinoma in situ,Measurement,SNOMED,Clinical Finding,S,384688004,20030131,20991231,,Surgical margin involved by ductal carcinoma in situ (finding)
4016369,Macchiavello stain method,Procedure,SNOMED,Procedure,S,104212000,20020131,20991231,,Macchiavello stain method (procedure); Macchiavello staining (procedure)
37118994,Entire bicipital groove,Spec Anatomic Site,SNOMED,Body Structure,S,729567001,20170731,20991231,,Entire bicipital groove (body structure)
4197627,Fluoroscopic angiography of thoracic aorta with contrast with insertion of tapered stent graft,Procedure,SNOMED,Procedure,S,433780006,20080731,20991231,,Fluoroscopic angiography of thoracic aorta with contrast with insertion of tapered stent graft (procedure); Fluoroscopic angiography of thoracic aorta using contrast with insertion of tapered stent graft (procedure)
37392730,Calculus magnesium ammonium phosphate content,Measurement,SNOMED,Observable Entity,,1007831000000100,20160401,20991231,,
37396098,Olodaterol- and tiotropium-containing product,Drug,SNOMED,Pharma/Biol Product,,715783005,20160731,20991231,,Product containing olodaterol and tiotropium (medicinal product); Olodaterol + tiotropium (product)
37394727,Removal of subject by transfer direction to hospital under Section 47 of the Mental Health Act 1983 (England and Wales),Observation,SNOMED,Procedure,S,1037861000000103,20160401,20991231,,
4203839,Thiothrix,Observation,SNOMED,Organism,S,438672008,20090131,20991231,,Genus Thiothrix (organism)
4305873,Wheat weevil disease,Condition,SNOMED,Disorder,S,38729007,20020131,20991231,,Wheat weevil disease (disorder)
4140374,Structure of inferior articular process of first thoracic vertebra,Spec Anatomic Site,SNOMED,Body Structure,S,32952009,20020131,20991231,,Structure of inferior articular process of first thoracic vertebra (body structure)
37394415,6-methylmercaptopurine nucleotide level,Measurement,SNOMED,Observable Entity,,1031721000000105,20160401,20991231,,
4273171,Legal affairs and legal constraints - finding,Observation,SNOMED,Clinical Finding,,365565007,20020131,20991231,,Finding of legal affairs and legal constraints (finding)
4111820,Does not coordinate airflow and voice onset,Observation,SNOMED,Clinical Finding,S,286239007,20020131,20991231,,Does not coordinate airflow and voice onset (finding)
4016801,Fetal cell screen,Measurement,SNOMED,Procedure,S,104068001,20020131,20991231,,Fetal cell screen (procedure)
4105278,Glass in genitalia,Condition,SNOMED,Disorder,S,283261006,20020131,20991231,,Glass in genitalia (disorder)
44808606,Bacterial 16S ribosomal ribonucleic acid detection and sequencing by nucleic acid amplification test,Measurement,SNOMED,Procedure,S,841281000000101,20121001,20991231,,
36674987,Fluoroscopy guided injection of bilateral facet joints,Procedure,SNOMED,Procedure,S,771140001,20190131,20991231,,Injection of bilateral facet joints using fluoroscopic guidance (procedure)
37170774,HCG (human chorionic gonadotropin) multiple of the median in serum,Measurement,SNOMED,Observable Entity,S,2981000237105,20230607,20991231,,
4224476,"Salmonella I, group O:42",Observation,SNOMED,Organism,S,404431005,20040131,20991231,,"Salmonella I, group O:42 (organism)"
4103012,Straddling left atrioventricular valve,Condition,SNOMED,Disorder,S,253492004,20020131,20991231,,Straddling left atrioventricular valve (disorder)
37311487,Encapsulated follicular carcinoma,Observation,SNOMED,Morph Abnormality,S,789444007,20200131,20991231,,Encapsulated follicular carcinoma (morphologic abnormality)
3654426,Voxelotor only product in oral dose form,Drug,SNOMED,Clinical Drug Form,,833307000,20200731,20991231,,Product containing only voxelotor in oral dose form (medicinal product form)
4105251,Radiotransmitter,Device,SNOMED,Physical Object,S,257448000,20020131,20991231,,Radiotransmitter (physical object)
4139891,Seen by rheumatology service,Observation,SNOMED,Clinical Finding,S,305826007,20020131,20991231,,Seen by rheumatology service (finding); Seen by rheumatology - service (finding)
4206468,Implantation of inert material into urethra,Procedure,SNOMED,Procedure,S,55632008,20020131,20991231,,Implantation of inert material into urethra (procedure)
45763152,Floor/equipment/cloth electrical conductivity tester,Device,SNOMED,Physical Object,S,470159004,20140731,20991231,,Floor/equipment/cloth electrical conductivity tester (physical object)
4140143,Lipoma of terminal spinal cord,Condition,SNOMED,Disorder,S,426470009,20070731,20991231,,Lipoma of conus medullaris (disorder); Lipoma of terminal spinal cord (disorder)
4018555,"Salmonella II 45:g,m,s,t:e,n,x",Observation,SNOMED,Organism,S,114850007,20020131,20991231,,"Salmonella II 45:g,m,s,t:e,n,x (organism)"
37166383,Primary carcinoma of glottis,Condition,SNOMED,Disorder,S,1259520002,20221231,20991231,,Primary carcinoma of glottis (disorder)
37312722,Bacillus circulans or Paenibacillus glucanolyticus,Observation,SNOMED,Clinical Finding,S,787960006,20200131,20991231,,Bacillus circulans or Paenibacillus glucanolyticus (finding)
4290763,Structure of spinal ventral corticospinal tract,Spec Anatomic Site,SNOMED,Body Structure,S,37181003,20020131,20991231,,Structure of spinal ventral corticospinal tract (body structure); Structure of ventral corticospinal tract (body structure)
36681503,Doxycycline only product in oral dose form,Drug,SNOMED,Clinical Drug Form,,779070006,20190131,20991231,,Product containing only doxycycline in oral dose form (medicinal product form)
4278814,Foreign body in nasal sinus,Condition,SNOMED,Disorder,S,66050007,20020131,20991231,,Foreign body in nasal sinus (disorder)
4261334,Pseudolymphoma of lung in Sjögren's disease,Condition,SNOMED,Disorder,S,44833003,20020131,20991231,,Pseudolymphoma of lung in Sjögren's disease (disorder); Pseudolymphoma of lung in Sjogren's disease (disorder)
4303837,Genus Neomys,Observation,SNOMED,Organism,S,388948001,20030131,20991231,,Genus Neomys (organism)
4234221,Escherichia coli serogroup O1,Observation,SNOMED,Organism,S,407250004,20040131,20991231,,"Escherichia coli serogroup O1 (organism); Escherichia coli, serotype O1 (organism)"
45773106,Spun cerebrospinal fluid,Specimen,SNOMED,Specimen,S,703691002,20140731,20991231,,Spun cerebrospinal fluid (specimen)
4053330,Reagin reaction,Observation,SNOMED,Observable Entity,S,124921002,20020131,20991231,,"Reagin reaction, function (observable entity); Reagin reaction (function)"
4262098,Erotelis smaragdus,Observation,SNOMED,Organism,S,45887001,20020131,20991231,,Erotelis smaragdus (organism)
46271101,Chimeric antigen receptor,Observation,SNOMED,Substance,S,709140006,20150731,20991231,,Chimeric antigen receptor (substance)
36682028,Isoniazid and pyrazinamide and rifampin only product in oral dose form,Drug,SNOMED,Clinical Drug Form,,779597007,20190131,20991231,,Product containing only isoniazid and pyrazinamide and rifampicin in oral dose form (medicinal product form)
1243647,Arterial bypass graft of thoracic artery using arterial graft,Procedure,SNOMED,Procedure,S,1297100005,20240101,20991231,,Arterial bypass graft of thoracic artery using arterial graft (procedure)
4075103,Entire upper dental arch,Spec Anatomic Site,SNOMED,Body Structure,S,245549000,20020131,20991231,,Entire upper dental arch (body structure)
4203441,Closed multiple fractures of lower limb AND ribs,Condition,SNOMED,Disorder,S,53441009,20020131,20991231,,Closed multiple fractures of lower limb AND ribs (disorder)
4213084,Coxiellaceae,Observation,SNOMED,Organism,S,414202000,20050131,20991231,,Family Coxiellaceae (organism)
4005768,Congenital jejunal stenosis,Condition,SNOMED,Disorder,S,204699000,20020131,20991231,,Congenital jejunal stenosis (disorder)
4217210,Sign,Condition,SNOMED,Clinical Finding,S,72670004,20020131,20991231,,Sign (finding)
4336752,Repair of pulmonary vein,Procedure,SNOMED,Procedure,S,232979006,20020131,20991231,,Repair of pulmonary vein (procedure)
